"State or Nation","Overall Rating","Health Inspection Rating","QM Rating","Staffing Rating","Cycle 1 Total Number of Health Deficiencies","Cycle 1 Total Number of Fire Safety Deficiencies","Cycle 2 Total Number of Health Deficiencies","Cycle 2 Total Number of Fire Safety Deficiencies","Cycle 3 Total Number of Health Deficiencies","Cycle 3 Total Number of Fire Safety Deficiencies","Average Number of Residents per Day","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Registered Nurse turnover","Number of administrators who have left the nursing home","Nursing Case-Mix Index","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Number of Fines","Fine Amount in Dollars","Percentage of long stay residents whose need for help with daily activities has increased","Percentage of long stay residents who lose too much weight","Percentage of long stay residents with a catheter inserted and left in their bladder","Percentage of long stay residents with a urinary tract infection","Percentage of long stay residents who have depressive symptoms","Percentage of long stay residents who were physically restrained","Percentage of long stay residents experiencing one or more falls with major injury","Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of long stay residents who received an antipsychotic medication","Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of short stay residents who newly received an antipsychotic medication","Percentage of long stay residents whose ability to walk independently worsened","Percentage of long stay residents who received an antianxiety or hypnotic medication","Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine","Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine","Percentage of long stay residents with pressure ulcers","Percentage of long stay residents with new or worsened bowel or bladder incontinence","Percentage of short stay residents who were rehospitalized after a nursing home admission","Percentage of short stay residents who had an outpatient emergency department visit","Number of hospitalizations per 1000 long-stay resident days","Number of outpatient emergency department visits per 1000 long-stay resident days","Processing Date"
NATION,3.0,2.8,3.7,2.9,9.3,4.6,9.8,4.7,9.4,4.4,85.2,2.33,0.86,0.67932,1.54,3.87157,3.43460,0.48,0.07,46.1,43.3,0.5,1.39169,0.67457,3.84455,3.41063,0.9,31239,14.391937,5.308639,0.896172,1.647909,12.077034,0.129575,3.248860,93.436251,15.454952,81.777158,1.588385,15.261585,19.544097,95.460678,79.755776,4.857720,19.420898,23.876177,12.013849,1.897857,1.797950,2026-06-01
AK,3.3,2.9,4.0,3.9,9.8,5.0,8.7,4.6,7.8,6.5,37.6,4.18,0.67,2.08382,2.75,6.92970,6.07395,1.58,0.05,47.2,46.7,0.6,1.29208,0.63070,3.59448,3.18878,0.7,38276,16.466795,5.143188,1.254000,3.028651,5.871342,0.126050,2.884519,93.326578,18.532236,78.595362,0.885242,19.464033,14.237627,95.988691,85.532227,7.305781,20.020043,15.492799,12.577131,1.159201,1.374846,2026-06-01
AL,3.0,2.8,3.3,3.6,3.9,3.5,2.7,3.3,3.5,3.2,97.7,2.49,0.79,0.64592,1.43,3.92315,3.30901,0.36,0.03,48.0,41.5,0.4,1.22548,0.59819,3.40920,3.02442,0.4,14532,12.650912,5.332198,1.087035,2.456013,1.442916,0.632748,3.391657,91.665634,21.418487,84.801610,2.035253,13.305959,24.686349,94.763337,80.315428,5.562974,13.254983,24.900188,11.697319,1.954332,1.741345,2026-06-01
AR,3.5,3.2,3.8,3.2,3.4,2.1,8.0,2.2,7.8,1.9,77.0,2.74,0.96,0.39766,1.36,4.09987,3.52038,0.27,0.03,49.7,45.5,0.3,1.19845,0.58499,3.33400,2.95771,0.5,9184,10.057956,4.563960,0.671756,1.225942,1.417819,0.061976,3.915065,94.929320,11.070061,81.987487,1.310454,10.965488,21.697329,96.081418,77.659401,4.438092,13.966290,24.842939,13.349727,2.016828,2.147772,2026-06-01
AZ,3.4,2.8,4.6,3.0,6.9,3.0,7.2,3.3,8.0,3.4,86.0,2.33,1.06,0.71569,1.77,4.10595,3.63187,0.51,0.10,46.2,42.0,0.5,1.41755,0.69194,3.94352,3.49843,0.5,8928,10.635950,5.223759,0.870579,1.114660,3.979713,0.296589,2.070600,96.966739,11.154866,91.326134,1.126179,13.459434,20.648816,94.582325,87.343381,4.517359,20.477493,24.121258,10.593055,1.633598,1.463265,2026-06-01
CA,3.2,2.8,4.2,3.1,15.5,6.2,17.2,6.9,17.2,7.5,87.5,2.65,1.20,0.67224,1.88,4.52229,4.10281,0.52,0.09,37.4,39.4,0.4,1.49246,0.72851,4.15192,3.68331,1.0,26375,10.414629,4.067951,0.845474,1.213335,7.043528,0.361558,1.642001,98.557698,11.730199,94.182232,1.491591,10.487063,13.739868,98.208577,93.214900,4.492626,10.658560,23.112584,11.224314,2.272039,1.603326,2026-06-01
CO,3.1,2.7,4.2,3.2,8.8,6.0,8.7,5.5,7.6,5.0,73.9,2.19,0.69,0.81999,1.51,3.69870,3.28436,0.60,0.08,47.1,43.4,0.5,1.31307,0.64094,3.65287,3.24058,1.3,25496,13.836310,4.987984,0.699022,1.456427,8.453412,0.080581,3.355799,93.588088,20.030960,76.278115,1.511596,14.373873,11.272289,94.731634,75.632475,3.575236,21.669852,20.938069,12.319984,1.317666,1.720276,2026-06-01
CT,3.0,2.7,3.7,3.3,13.5,4.4,13.7,4.4,8.9,2.5,102.2,2.27,0.84,0.69442,1.53,3.80041,3.40774,0.46,0.08,37.1,37.8,0.4,1.35435,0.66109,3.76770,3.34245,0.8,18685,18.183836,6.336840,0.823479,1.595359,19.668667,0.001836,3.438217,87.995480,17.829683,71.022440,1.515321,17.389566,17.415469,93.482189,69.701915,4.166948,24.907320,24.497758,10.578585,2.062566,1.464090,2026-06-01
DC,3.5,2.8,4.6,3.9,23.3,1.8,18.9,2.1,20.6,2.2,120.0,2.63,0.59,1.89646,2.49,5.12179,4.57743,1.57,0.12,35.2,33.3,0.5,1.58644,0.77438,4.41336,3.91524,1.4,70333,22.226773,5.091895,1.173983,1.586290,6.581137,0.522310,1.004086,90.740506,7.829720,65.998199,0.702105,17.738733,12.126416,96.987631,73.216685,8.102957,21.388854,18.003905,8.537282,1.176769,0.619513,2026-06-01
DE,3.3,2.7,4.2,3.8,10.3,1.0,13.8,1.5,12.7,0.8,89.8,2.49,1.03,1.00314,2.03,4.52369,4.08024,0.69,0.18,40.6,41.0,0.6,1.37026,0.66886,3.81197,3.38173,1.3,62853,13.692362,5.384544,0.544643,2.016604,8.719810,0.025416,3.406508,95.773607,10.946208,83.071724,0.941531,15.498765,21.640039,97.414316,83.067465,4.100849,21.169411,22.165955,11.186191,1.818985,1.394987,2026-06-01
